Device,id,title,submission_time,rating,review_text
Motorola Moto Z Droid,214868651,"Great Concept, Very Poor Execution",2019-11-30T07:08:25.000+00:00,1,"Hot swap moto mods are fantastic, need more choices. Size and function options of the Moto Z are great. The first year everything runs smoothly, fast, great battery life....then it changes. Battery life drains away to the point where I must leave it on charge most of the time. The phone randomly gets very hot. Bluetooth connection drops. Cannot find wifi routers though there are multiple available, ones that the phone had connected to before. Then there's the perpetual rebooting. I actually had to reset the phone back to factory, twice. Now is slow and battery life is minimal. The camera was great to start with, now it drags to open and focus; by then, the great shot you shook your phone for has gone. Oh and no upgrade to Pie available. I wish the execution lived up to the concept. Very disappointed."
Motorola Moto Z Droid,211205536,Moto Z play turn off suddenly,2019-07-14T01:01:27.000+00:00,1,"my phone suddenly turns off with the battery charged. when I want to turn it on, it is 3% charged. It is impossible to believe that. I connect it to the charger and 80% on the screen. okay I unplug it and do not spend even 20 minutes and it turns off again.
This is a martyrdom for me. I feel cheated by you. my motoz play phone started to suddenly turn off when the battery was charged. I can not work because I make a call and it turns off, I open an application and it turns off and it only stays on having it connected to the charger. This product is defective.
I followed step by step all the solutions and I can not find a way to make this, I tried all the tips and there is no solution, there is no solution.
You want to give life to a phone with an operating system that has two years of life? ...... in that way then we should buy a new phone?
Is that what it is about?
I've had motorola for almost 20 years I've grown up with each model and I feel like I will not buy another motorola because I'm very disappointed."
Motorola Moto Z Droid,187359273,Just paid off and dies every few hours,2019-05-02T19:47:45.000+00:00,1,"The internet is full of customers that own these phones and when the updates happen the battery will not stay charged. The interesting thing is, I didn't have any problems with any of the updates until after the phone was paid off.
I believe this is a ploy to force people to upgrade. I will never buy a Moto or anything produced by Levono again."
Motorola Moto Z Droid,208814238,battery is awful,2019-04-29T17:59:34.000+00:00,1,I have had mine 8 months.  Love the phone but now i can't use my phone unless it is plugged in.  The battery mod won't keep it charged either.
Motorola Moto Z Droid,208662956,battery issues!! ugh,2019-04-24T04:49:25.000+00:00,1,"Purchased Moto Z 2 years ago at full price. After 1 1/2 years the phone started with battery issues. It would shut down when I tried to take a picture when the battery was 80%. When the phone would power back on, it would show a low battery of around 10%. At first I thought it was a camera issue. But battery went downhill from there. A few weeks later, the battery was so bad that I needed to keep it connected to a portable power bank at all times! Now I have to tote around this phone with a power bank connected to it. The second I unplug the phone from the power bank, phone shuts off. Same when I connect phone to turbo charger (the second I unplug the phone from charger, it shuts off). This is unacceptable and I will never buy or recommend a Moto phone again."
Motorola Moto Z Droid,186893077,Horroble Battery,2019-04-18T14:19:26.000+00:00,1,I bought this phone less than 2 years ago. I now have problems with its battery. It would shut down erratically. Sometimes it would shut down when the battery is at 35% or the other times when it is 20%. I took it for repair. three times they changed the battery but now it doesn't charge. I would not recommend this phone to anyone.
Motorola Moto Z Droid,208322266,Horrible Battery life,2019-04-11T04:34:07.000+00:00,1,I bought this phone last year and after a year using it i have notice that the battery drained fast. I have to charge my phone all the time for me to be able to use it otherwise its unusable at all. I did factory reset on this phone but still same thing.  Battery sucks
Motorola Moto Z Droid,208306043,Battery Life Issues,2019-04-10T16:29:27.000+00:00,2,"So far I've loved my Moto Z even though I've had a few problems, but the battery issue is NO LONGER tolerable. The phone has to be charged 3 or 4 times a day and its driving me crazy. It will completely cut off with 35% battery remaining. Some times it says its charging, but when I look at the battery details under settings it says ""not charging"" (which requires an unplug and re-plug). The charger isn't the problem as I have 3 different chargers and the same thing happens with all of them. These are genuine Motorola chargers, not aftermarket junk. There are no mods on my phone. Not a terrible number of aps. All pictures are backed up and cleared off frequently. Cache is cleared regularly. 

Original phone ""purchased"" Nov 2016
RIP Phone 1- Dec 2016 (brand new) - Bluetooth was broken (couldn't be repaired). 
               *Was issued a refurbished phone as a replacement even though I was 
                 still paying for brand new device
RIP Phone 2 - March 2017  - Phone started smoking when I plugged it in to charge. 
RIP Phone 3 - March 2018 - Phone started randomly rebooting. 
Phone 4 - My current phone and the battery has been an issue for about 3 months now."
Motorola Moto Z Droid,208181145,Battery died after less then a year,2019-04-06T03:01:03.000+00:00,1,Battery died with less than a year I was lucky they sent a new one.
Motorola Moto Z Droid,208134392,30 hour battery is a WHOLE LIE,2019-04-04T06:26:19.000+00:00,1,My six year old phone works better than this phone.  My eleven year old phone works better than this phone.  There were no problems until that one update and yall can't be bothered to fix it?  Waste.
Motorola Moto Z Droid,208125836,Battery Sucks,2019-04-03T23:05:00.000+00:00,2,"I use this phone for business, so it is more than just an inconvenience when the battery dies with no warning.  It will tell me I have 64%, but then I go to open a window or take a picture, and it just turns off.  Plug it in, says it has 35%, so turn it back on and it dies again.  Would love to have Motorola contact me about this."
Motorola Moto Z Droid,207818472,Batery life problem,2019-03-23T00:07:50.000+00:00,1,"As with many others I had thoroughly enjoyed this phone with the moto mods and the long battery life and turbo charging; but then after about a year of use, I had the same issue as has been reported: wouldn't hold a charge consistently.  It's especially a problem because with the investment in moto-mods I had expected to use this phone for longer than a normal phone"
Motorola Moto Z Droid,207714415,Battery problems,2019-03-18T17:48:07.000+00:00,2,I have had my phone for a year or two now. It was a great phone but now even at 80% it will randomly shut off. When I try to turn it back on it'll just shut off again or show it's at 0% and not turn on until I put it on the charger. Mine got stuck in an infinite loop of trying to turn on get to the blue screen with the red M then shut off and try again. I did a factory reset on it and it didn't help the situation at all. I won't be buying another Motorola product after this fiasco.
Motorola Moto Z Droid,207386453,Don't Buy This Phone,2019-03-03T23:33:06.000+00:00,1,Battery dies after a few months. Even after the battery is replaced with the OEM part it died after 2 weeks again!
Motorola Moto Z Droid,207239775,stay away from this phone,2019-02-25T16:38:14.000+00:00,1,"battery does not work at all, has to be plugged all the time, volume buttons do not work after 8 months"
Motorola Moto Z Droid,207128522,Battery problems!,2019-02-20T17:13:10.000+00:00,1,"Battery drains rapidly from 100% to 60-70% then goes to 0% in seconds since software update.  Motorola aware of the issue, but not addressing.

Positively ridiculous."
Motorola Moto Z Droid,207044738,Zero battery life.,2019-02-17T03:25:54.000+00:00,1,"Once you download Android 8.0 on this phone, you will only be able to use it while plugged into the wall. The battery life goes from 100 to 0 before I can even switch from home charger to car charger. I just bought it last Xmas, now I have to get a new one."
Motorola Moto Z Droid,206844016,Great Phone First Year,2019-02-09T18:39:14.000+00:00,1,"First Year work perfect Camera Battery Life, After a Year issues started I did system update battery life dead, when a have 50% battery and take a picture phone shout down and battery drain from 50% to 3% first when I bought thought Moto z was 
 one of the best phone for my. but now I don't spend none on motorola products any more....."
Motorola Moto Z Droid,206747395,Best phone ever,2019-02-06T01:52:28.000+00:00,5,"It's a great phone , battery lastest forever. But I would the screen to be bigger ."
Motorola Moto Z Droid,184580236,"Great phone initially, battery problems and replacement phone problems later on",2019-01-03T19:37:49.000+00:00,2,"Wife and I both bought Moto Z Droid phones 2 years ago to replace our Samsung S4's.  We liked the unique features of this phone and it was easy to use.

However, about 1 year into our 2 year contract, my wife's phone's battery degraded and the phone started acting strange.  Acting strange meaning the phone would report the battery percentage as falling rapidly, the phone would spontaneously reboot and the battery percentage would gap down after reboot, for e.g. from 50 percent to 2 percent.  Then the phone would just die.
She got a replacement phone under the protection plan, but the replacement phone's bluetooth didn't work, hence a 2nd replacement phone - which worked.

I use my phone less than her, now after 2 years it's starting to have the ""gap down"" battery issue my wife's previous phone had, so it's basically on its way to dying.

Longevity is certainly not a strong point of this phone."
Motorola Moto Z Droid,205743884,Battery Sucks,2018-12-28T17:35:02.000+00:00,1,"Phone was great for about 11 months. Battery drain is out of control and came out of nowhere. Phone will completely shut off within an hour of being 100%. This phone is still being sold for an extremely high price, when Motorola should replace all of our phones. On top of that, their other z phones are sold out. So goodbye Moto, been using yalls phones since the flip phone days. Never again."
Motorola Moto Z Droid,183763557,Regular charging and battery issues and replacement costs,2018-11-28T18:26:08.000+00:00,2,"At first this phone was a very nice purchase and seemed worth every penny.  However, after 2 years I've had 3 different Moto Z droids and it has all been because eventually the battery would fail to take a charge or the USB C charging port would start to fail to recognize the fast charging."
Motorola Moto Z Droid,204807365,Good phone but missing features and several bugs.,2018-11-25T22:38:20.000+00:00,4,"Missing IR blaster for remote control devices, no Photo Gallery app (only Google Photos) and several bugs... Smart Lock is not working and you cannot disable the gradual volume option. Until I upgraded to Oreo, there wasn't a File Manager either."
